Pos,Pts,Team name,Best,2nd best,Provenance,Official
56,287,Pisse-Minute,29 (205) Coup de Foudre,41 (82) Bye Bye,,48 (-8)
57,268,Nordiscs,6 (135) La Viree,13 (133) La Flotte,,58 (1)
58,261,Sharknado,7 (261) Oktober Disk,,,67 (9)
59,253,Pirhanas,33 (156) Coup de Foudre,39 (97) Movember,,49 (-10)
60,250,Hot Wheels,1 (250) La Viree,,,77 (17)
61,250,Dion chante noël,1 (250) Attache t'ajjuq,,,78 (17)
62,235,G'S Pot,8 (235) Bonne annee,,,68 (6)
63,227,Farfadets,11 (169) La Flotte,57 (58) Movember,,59 (-4)
64,219,Mockingbirds,28 (219) Movember,,,70 (6)
65,218,Battleship,37 (115) Coup de Foudre,15 (103) Oktober Disk,,54 (-11)
66,214,Cougars,5 (107) CEQU4 Carleton,5 (107) CEQU4 Gaspe,,71 (5)
67,208,Dynamite,32 (168) Movember,21 (40) Bonne annee,,61 (-6)
68,206,Patriotes,14 (117) Oktober Disk,40 (89) Movember,,55 (-13)
69,201,Votre équipe du CA,2 (201) Attache t'ajjuq,,,88 (19)
70,201,Ale-Mah,2 (201) La Viree,,,89 (19)
71,196,Frisbeenomiale,38 (106) Bye Bye,16 (90) Oktober Disk,,57 (-14)
72,192,Martine joue au frisbee,36 (125) Movember,18 (67) Oktober Disk,,63 (-9)
73,189,Max Power,10 (189) Bonne annee,,,73 (0)
74,169,Tribe,11 (169) Bonne annee,,,79 (5)
75,169,Lebœuf Saloon,37 (115) Bye Bye,45 (54) Coup de Foudre,,64 (-11)
76,163,Morues,3 (163) CEQU4 Gaspe,,,95 (19)
77,163,Bars Rayés,3 (163) CEQU4 Carleton,,,96 (19)
78,163,Grues d'Acajou,3 (163) La Viree,,,97 (19)
79,150,Boyz,12 (150) La Flotte,,,84 (5)
80,149,Sony Discmans,41 (82) Coup de Foudre,43 (67) Bye Bye,,66 (-14)
81,144,Moldus,4 (132) Victo Bowl,55 (12) Coup de Foudre,,75 (-6)
82,135,BAZOOKA,35 (135) Movember,41 (0) Mars Attaque,,87 (5)
83,132,Rogers perchés,4 (132) CEQU4 Gaspe,,,102 (19)
84,132,Bleu Marine,4 (132) CEQU4 Carleton,,,103 (19)
85,132,Frisbeenator,4 (132) Attache t'ajjuq,,,104 (19)
86,132,Sasquatch! Hunters,4 (132) La Viree,,,105 (19)
87,118,LumberJacks,44 (61) Movember,19 (57) Bonne annee,,69 (-18)
88,117,White noise,14 (117) La Flotte,115 (0) Mars Attaque,,91 (3)
